City_ID,City,Country,Lat,Lon,Max Temp,Description,Hotel Name
0,Neiafu,TO,-18.65,-173.9833,79.48,scattered clouds,Mystic Sands Beachfront Accommodation
1,Tecoanapa,MX,16.5167,-98.75,80.87,scattered clouds,Hotel Manglares
2,Pangai,TO,-19.8,-174.35,78.91,scattered clouds,Ha'apai Beach Resort
3,Vaini,TO,-21.2,-175.2,75.36,scattered clouds,Keleti Beach Resort
4,Hakui,JP,36.8833,136.7833,79.45,scattered clouds,KYUKAMURA NOTO-CHIRIHAMA
5,Bayji,IQ,34.9311,43.487,84.88,clear sky,دار الضيافة
6,Hamada,JP,34.8833,132.0833,77.72,scattered clouds,Shimane Hamada Washington Hotel Plaza
7,Catia la mar,VE,10.6038,-67.0303,79.0,few clouds,HOTEL PLAYA GRANDE CARIBE
8,Awbari,LY,26.5921,12.7805,76.21,clear sky,فندق أوباري
9,Hit,IQ,33.6416,42.8251,85.95,clear sky,ࢪُبَمـا ؏ُـمَـࢪ
10,Sarhari,PK,26.0977,68.4786,84.2,smoke,Ali Sher Keerio Hotel
11,Benghazi,LY,32.1167,20.0667,77.97,clear sky,Tibesti Hotel
12,Darnah,LY,32.767,22.6367,76.23,clear sky,فندق الفردوس
13,Gat,LY,31.61,34.7642,75.88,clear sky,OlusHome
14,Hasaki,JP,35.7333,140.8333,90.0,clear sky,Inubosaki Kanko Hotel
15,Sinjar,IQ,36.3209,41.8754,82.8,clear sky,زوماني فون 1
16,Kuching,MY,1.55,110.3333,86.22,few clouds,Hilton Kuching
17,Misratah,LY,32.3754,15.0925,78.37,clear sky,Almasa Hotel
18,Oranjestad,AW,12.524,-70.027,82.35,few clouds,Divi Village Golf & Beach Resort
19,Sabha,LY,27.0377,14.4283,76.26,clear sky,محطة ام الارانب -سبها مواصلات
20,Temax,MX,21.15,-88.9333,79.75,scattered clouds,Finca San José
21,Tripoli,LY,32.8752,13.1875,76.59,clear sky,Al Waddan Hotel
22,Guasdualito,VE,7.2424,-70.7324,76.96,few clouds,Hotel Cuibas
23,Georgetown,US,5.4112,100.3354,85.93,few clouds,Cititel Penang
24,Dennis,US,41.7354,-70.1939,78.75,clear sky,Sesuit Harbor House
25,Monteria,CO,8.748,-75.8814,78.71,scattered clouds,Hotel Florida Sinú
26,Nongan,CN,44.382,125.1685,79.16,scattered clouds,Quanhu Resort
27,Pengcheng,CN,36.4311,114.17,82.6,scattered clouds,Fengfeng Dianchang Hotel
28,Bengkulu,ID,-3.8004,102.2655,84.45,scattered clouds,Grage Hotel Bengkulu
29,Pingliang,CN,35.5392,106.6861,76.6,clear sky,North Gate Hostel
30,Rome,US,34.257,-85.1647,80.56,clear sky,La Quinta Inn & Suites by Wyndham Rome
31,Biak,ID,-0.9131,122.8766,80.29,scattered clouds,Penginapan Kim
32,Baiyin,CN,36.5583,104.2081,76.89,clear sky,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
33,Muncie,US,40.1934,-85.3864,75.65,clear sky,Best Western Muncie
34,Bitung,ID,1.4451,125.1824,85.05,few clouds,K2 Lembeh
35,Baoding,CN,38.8511,115.4903,87.53,clear sky,Xiu Lan Hotel
36,Williston,US,48.147,-103.618,81.34,clear sky,Hampton Inn & Suites Williston
37,Venafro,IT,41.4834,14.0451,75.85,clear sky,Dimora delPrete di Belmonte Residenza d'Epoca
38,Novo aripuana,BR,-5.1206,-60.3797,75.15,scattered clouds,Hotel Ezequiel
39,Mackenzie,CA,55.2999,-123.1698,77.22,clear sky,Hilton Shop
40,Magdagachi,RU,53.45,125.8,80.4,clear sky,Motopolyana Magdagachi
41,Gilgit,PK,35.9221,74.3087,85.6,clear sky,Tourist Hamlet Gilgit
42,Smithers,CA,54.7804,-127.1743,75.52,few clouds,"Prestige Hudson Bay Lodge, Premier Collection"
43,Platteville,US,42.7342,-90.4785,75.29,clear sky,"Country Inn & Suites by Radisson, Platteville, WI"
44,Pamanukan,ID,-6.2842,107.8106,84.76,few clouds,Paris Day Hotel Pamanukan
45,Eyl,SO,7.9803,49.8164,77.5,clear sky,Amiin Hotel
46,Avarua,CK,-21.2078,-159.775,77.05,scattered clouds,Paradise Inn
47,Hobyo,SO,5.3505,48.5268,75.06,few clouds,Iftin hotel hobyo
48,Yashan,CN,22.1975,109.9419,88.83,clear sky,Xin Kaibin Guan
49,Kismayo,SO,-0.3582,42.5454,75.04,clear sky,Agan-Hotel
50,Karakol,KG,42.4907,78.3936,78.48,clear sky,"Gostinitsa ""Al'tamira"""
51,Motril,ES,36.7507,-3.5179,83.26,clear sky,Elba Motril Hotel Beach & Business Hotel
52,Lockhart,US,28.6194,-81.4426,83.91,scattered clouds,Courtyard by Marriott Orlando Altamonte Springs/Maitland
53,Astaneh-ye ashrafiyeh,IR,37.2596,49.9444,75.13,clear sky,Hotel Farrokhi هتل فرخی
54,Jiancheng,CN,30.391,104.5491,76.28,few clouds,Jianyang Celebrity City Hotel
55,Bismil,TR,37.8486,40.6658,76.73,clear sky,Hotel Dolay
